"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание заказа без ингредиентов авторизованным пользователем","16","test_create_order_authorized_without_ingredients","tests","2026-08-18","passed","2026-08-18","TestOrder","test_order","",""
"Создание уникального пользователя - успешный сценарий","1058","test_create_user_success","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Изменение данных пользователя с авторизацией","199","test_update_user_authorized[password-new_password_123]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание пользователя, который уже зарегистрирован","17","test_create_user_already_exists","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Логин с неверным логином и паролем","361","test_login_invalid_credentials[test@yandex.ru-wrongpassword]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание заказа без ингредиентов неавторизованным пользователем","295","test_create_order_unauthorized_without_ingredients","tests","2026-08-18","passed","2026-08-18","TestOrder","test_order","",""
"Создание пользователя без одного из обязательных полей","279","test_create_user_missing_field[email]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Изменение данных пользователя без авторизации","276","test_update_user_unauthorized[password-new_password_123]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Изменение данных пользователя с авторизацией","19","test_update_user_authorized[email-None]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Попытка изменить email на уже существующий","807","test_update_user_email_already_exists","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Логин с неверным логином и паролем","279","test_login_invalid_credentials[wrong@yandex.ru-wrongpassword]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Изменение данных пользователя с авторизацией","20","test_update_user_authorized[name-NewUserName]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание заказа с неверным хешем ингредиентов авторизованным пользователем","17","test_create_order_authorized_invalid_hash","tests","2026-08-18","passed","2026-08-18","TestOrder","test_order","",""
"Изменение данных пользователя без авторизации","280","test_update_user_unauthorized[email-new_email@yandex.ru]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Изменение данных пользователя без авторизации","283","test_update_user_unauthorized[name-NewUserName]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Получение заказов конкретного пользователя с авторизацией","545","test_get_user_orders_authorized","tests","2026-08-18","passed","2026-08-18","TestOrdersList","test_orders_list","",""
"Создание пользователя без одного из обязательных полей","282","test_create_user_missing_field[name]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Получение заказов пользователя без авторизации","281","test_get_user_orders_unauthorized","tests","2026-08-18","passed","2026-08-18","TestOrdersList","test_orders_list","",""
"Логин с неверным логином и паролем","283","test_login_invalid_credentials[wrong@yandex.ru-password123]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание заказа с ингредиентами неавторизованным пользователем","20","test_create_order_unauthorized_with_ingredients","tests","2026-08-18","passed","2026-08-18","TestOrder","test_order","",""
"Проверка сообщения об ошибке для неавторизованного пользователя","290","test_update_user_unauthorized_error_message","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Логин под существующим пользователем","96","test_login_success","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание пользователя без одного из обязательных полей","290","test_create_user_missing_field[password]","tests","2026-08-18","passed","2026-08-18","TestUser","test_user","",""
"Создание заказа с ингредиентами авторизованным пользователем","3705","test_create_order_authorized_with_ingredients","tests","2026-08-18","passed","2026-08-18","TestOrder","test_order","",""
